tweet_id,user_id,username,text,like_count,retweet_count,location,creation_date_time
1502797517884432390,1392983778709082112,Aegean888,And here we go The vaccine blame game from the lead player Of course they knew the traditional method was the way to go and mRNA was just a stopgap but the mighty dollar and juicy govt contracts you’re a schmuck Albert Bourla COVAXIN Omicron COVID19 cdnpoli,7,1,Inside the Matrix,2022-03-13
1502796059491266560,967806995381346305,SCC331_Penguins,OCGN 1291 reasons why Covaxin needs FDA approval NOW 🏼,1,1,"Corvallis, OR",2022-03-12
1502795666799853568,82334315,Prabhu_DS,Difference between COVAXIN COVISHIELD and SPUTNIK V Corona Virus Vaccines As the world prepares to vaccinate human beings every country is prabhuwrites prabhu hymprudious differencebetweencoronavirusvaccines,0,0,"Narasinghpur, Odisha, India",2022-03-12
1502786365498527754,1379701085267451905,Danilo95003066,The right boosters Give that COVAXIN green light Let’s have learned from the past COVAXINapproval pandemic vaccine universalvaccine protectChildren COVAXINforChildren,1,0,No Location,2022-03-12
1502784096086355972,1473507662,doc_holliday50,How does something so new get quick approval yet Covaxin an inactivated whole virion vaccine which uses proven tech has decades of data via its use in other childhood vaccines face so many roadblocks,15,5,"California, USA",2022-03-12
1502781514290925568,1473507662,doc_holliday50,has done the same with Covaxin and yes there are people literally waiting for Covaxin a traditional non mRNA vax as well,1,1,"California, USA",2022-03-12
1502775239905726470,1477140752144617477,greg_pastryk,Hey bitch ass when can we get Covaxin in the USA,2,0,"Fairfield, CA",2022-03-12
1502774876351782913,1455874738258014216,Jaytee116James,Ask yourselves this question that not one expert on our covid-19 policy has answered Why are we using vaccine platforms that target a SINGLE protein on a virus known to mutate frequently Even our Media has failed to question our officials Our FDA then denies usage of COVAXIN,1,1,No Location,2022-03-12
1502767471463391241,1435395568889651202,saltlight22,No it's only unbridled greed and feception that got it on market Covaxin was always a choice Suppressed just like early treatment,2,0,"Pennsylvania, USA",2022-03-12
1502763708442841089,1395910534877257731,HieuTrantheMAN,IchooseCOVAXIN Something is cooking It smells good but I don’t know what it is don’t mess up on the bridging please we stand with you and will voice for COVAXIN ♥️🇺🇸🇲🇽🇨🇦🇮🇳🇵,3,1,"Las Vegas, NV",2022-03-12
1502760560571658241,296320706,Stashk311,People research Covaxin,1,0,"Los Angeles, CA",2022-03-12
1502760220182958084,296320706,Stashk311,Pfizer is done nobody wants it and sees the damage from the reports How much was paid to hold down covaxin It will all come out,0,0,"Los Angeles, CA",2022-03-12
1502756673840058368,489184831,chovue,One of us will be on the wrong side of history go tell your lord and savior faucis christ where he is hiding Ask him why covaxin based off polio tech which he praised back then with amazing safety nearly zero major side effects continues to get denied eua,0,0,No Location,2022-03-12
