id,text,created_at,user_id,retweet_count,username,user_desc,location,verified
1494099251537797123,RT @Mediagalleta: Las medidas del COE son lo que muestra esta foto... La gente del fútbol se las pasa por la faja... Entonces por qué jorob…,2022-02-16T23:59:55.000Z,412022555,18,charlie_1250,,,False
1494099255803404295,"RT @contagemcorona1: 🔵RIO GRANDE DO SUL

Estado registra 14.472 casos e 41 novas mortes por #COVID19 nas últimas 24h.

Total de casos ativo…",2022-02-16T23:59:56.000Z,1107447923875500033,9,FeSa972,"Proletária de Esquerda, Antifascista, Usuária e Defensora do SUS.  
#VacinasSalvamVidas💉🚩🚩
#LulaPresidente2022","ES, Brasil",False
1494099266268286977,"RT @MichaelPSenger: As of today, the COVID passes of 5 million unboosted French citizens expired; they now join their unvaccinated countrym…",2022-02-16T23:59:58.000Z,1262037179825565698,3302,swainholistics,"A holistic health coach/author who advocates immune boosting nutrition, herbal supplements, organic recipes, and other natural healing",,False
1494099254779858944,"RT @AegisBridge: @cj_schroeder Studie für Studie, ein Datensatz nach dem anderen, schien zu dem Schluss zu kommen, dass die geimpfte Gruppe…",2022-02-16T23:59:56.000Z,1386435529441484801,2,IchmachdA,"#ichmachedanichtmit

Praktizierender Nonkonformist im nicht religiösen Sinne",,False
1494099254901628936,"@unmylight @sugacrap Regras do governo sul coreano para shows e eventos, por causa do covid!",2022-02-16T23:59:56.000Z,3312611499,0,luzia_raielle,"You make my world light up inside 🐳💜🐙
#MyUniverse

💙💗🖤🤍💛💚💜","Rio de Janeiro, Brasil",False
1494099257640558592,RT @Annette_LEXA: La C.E. souhaite connaître notre avis ur la prolongation du pass sanitaire jusqu'en 2023. Merci à tout de prendre un mome…,2022-02-16T23:59:56.000Z,1264376656451469312,83,MonElevation,♤,,False
1494099258995200001,"RT @WhiteHouse: From free and convenient vaccines to rescue checks, the Biden-Harris Administration made sure families had what they needed…",2022-02-16T23:59:57.000Z,3273203070,247,nosh_johnson,"Serial Entrepreneur,  Information Technologist, Business Strategy Coaching & Consulting - https://t.co/jqxQOn0vT8","San Francisco, CA",False
1494099258307399680,"RT @Mav_erick2: A ver si lo entiendo bien

Están diciendo que el objetivo del ensayo de esta nueva vacuna aplicada a VACUNADOS es ver ""la c…",2022-02-16T23:59:56.000Z,1250203445501530113,200,chispero1808,"La noche de un 2 de mayo me fusilaron, mal, los gabachos.","Madrid, Comunidad de Madrid",False
1494099261314801668,"@harasahoo Hi there, transit passengers will remain in the transit area and you will not have to quarantine in Singapore. For other requirements applicable to transit passengers, kindly view the travel advisory via https://t.co/8LzqPbj7Gj. Thank you.",2022-02-16T23:59:57.000Z,253340062,0,SingaporeAir,"Tell us your travel stories with #FlySQ #SingaporeAir. For feedback, write to https://t.co/kvBYaqY53O. For guidelines on our social media channels, refer: https://t.co/QHPadqn54r",,True
1494099250128564226,"RT @f_philippot: Entre l’effarement du Pr Caumes devant une vaccination de masse en pleine épidémie, et le rétropédalage amorcé d’Attal sur…",2022-02-16T23:59:54.000Z,1421529451800715272,2633,dreamsand08,"la liberté de mes enfants leur avenir leur vie n'a pas de prix et je ferais tout ce dont je peut .
NI VAXX NI PASS.. LIBERTA !!!!","Basque Country, Spain",False
1494099261373521922,"RT @canadiangirls99: If you’re ok with duct taping our seniors into their rooms due to Covid , you might be a psychopath",2022-02-16T23:59:57.000Z,29208857,128,mmahathy,"Doctor of sarcasm, cancer survivor, pro-Israel! #prolife Love Ronald Reagan, America! #unity",,False
1494099267367186432,"RT @JackPosobiec: BREAKING: Project Veritas exposes Biden administration plans for annual COVID shots for adults and children

""A Recurring…",2022-02-16T23:59:59.000Z,1269067706755678208,3066,allthegods76,"All the gods, all the heavens, all the hells are within you. Do Not Comply. Pronouns are LGB/FJB.","Philadelphia, PA",False
1494099261956530177,RT @manuelrico: Hoy hace 700 días que el Gobierno Ayuso aprobó el Protocolo que impedía trasladar al hospital a los residentes más vulnerab…,2022-02-16T23:59:57.000Z,2552571488,6417,Portitns,Enfermero diplomado. Viviendo el día a día,"Morón de la Frontera, España",False
1494099263483166721,RT @AlbaRockWater: @AnneIbiza13 Cette video de #raphaelcohen est une bombe ! Maintenant vous savez tout sur la fausse pandémie de covid et…,2022-02-16T23:59:58.000Z,1184244617266585600,4,samza_zaza,,,False
1494099261947990024,"RT @E_estrada12: It takes a great community to care for one another, just as @vidaproject831 is doing providing COVID19 resources for commu…",2022-02-16T23:59:57.000Z,226369045,3,BHCMontereyCty,"Building Healthy Communities - East Salinas supports the development of places where children are healthy, happy, and ready to learn. ✊🏽❤️",East Salinas,False
